timestamp,min,max,avg,mode,number_of_packets
1711117500.0,-49.0,-45.0,-47.86495726495726,-48.0,585.0
1711117560.0,-68.0,-45.0,-50.63304093567251,-48.0,684.0
1711117620.0,-67.0,-45.0,-56.51107325383305,-48.0,1174.0
1711117680.0,-69.0,-45.0,-56.700840336134455,-48.0,1190.0
1711117740.0,-68.0,-45.0,-56.437017994858614,-48.0,1167.0
1711117800.0,-53.0,-45.0,-47.84121621621622,-48.0,592.0
1711117860.0,-52.0,-45.0,-47.885860306643956,-48.0,587.0
1711117920.0,-49.0,-45.0,-47.87166666666667,-48.0,600.0
1711117980.0,-50.0,-45.0,-47.867671691792296,-48.0,597.0
1711118040.0,-48.0,-45.0,-47.83134582623509,-48.0,587.0
1711118100.0,-53.0,-45.0,-47.889267461669505,-48.0,587.0
1711118160.0,-53.0,-45.0,-47.68073878627968,-48.0,379.0
1711118220.0,-49.0,-46.0,-47.68801652892562,-48.0,484.0
1711118280.0,-75.0,-45.0,-48.026666666666664,-48.0,600.0
1711118340.0,-76.0,-45.0,-56.67293233082707,-48.0,798.0
1711118400.0,-72.0,-46.0,-56.984982332155475,-48.0,1132.0
1711118460.0,-71.0,-47.0,-57.32312925170068,-48.0,1176.0
1711118520.0,-68.0,-45.0,-57.20135363790186,-48.0,1182.0
1711118580.0,-72.0,-45.0,-57.04892205638474,-48.0,1206.0
1711118640.0,-72.0,-42.0,-51.94915254237288,-48.0,1180.0
1711118700.0,-68.0,-45.0,-50.57421543681086,-48.0,1179.0
1711118760.0,-76.0,-45.0,-57.74134948096886,-48.0,1156.0
1711118820.0,-71.0,-46.0,-53.82995495495496,-48.0,888.0
1711118880.0,-53.0,-45.0,-47.91721854304636,-48.0,604.0
1711118940.0,-48.0,-45.0,-47.89437819420784,-48.0,587.0
1711119000.0,-70.0,-42.0,-50.35672514619883,-48.0,855.0
1711119060.0,-58.0,-43.0,-49.89704641350211,-48.0,1185.0
1711119120.0,-57.0,-35.0,-45.96293176074136,-47.0,1187.0
1711119180.0,-47.0,-41.0,-45.04212299915754,-47.0,1187.0
1711119240.0,-51.0,-41.0,-45.1439205955335,-47.0,1209.0
1711119300.0,-53.0,-34.0,-45.167508417508415,-47.0,1188.0
1711119360.0,-57.0,-37.0,-45.06976744186046,-48.0,1032.0
1711119420.0,-48.0,-39.0,-43.917229729729726,-40.0,1184.0
1711119480.0,-53.0,-38.0,-43.93248945147679,-40.0,1185.0
1711119540.0,-51.0,-38.0,-43.99341563786008,-48.0,1215.0
1711119600.0,-48.0,-38.0,-44.02449324324324,-48.0,1184.0
1711119660.0,-52.0,-38.0,-44.11443210930828,-48.0,1171.0
1711119720.0,-48.0,-38.0,-44.11729957805907,-48.0,1185.0
1711119780.0,-50.0,-38.0,-44.12984822934233,-48.0,1186.0
1711119840.0,-50.0,-38.0,-44.155855096882895,-48.0,1187.0
1711119900.0,-48.0,-39.0,-44.168350168350166,-48.0,1188.0
1711119960.0,-49.0,-38.0,-44.158249158249156,-48.0,1188.0
1711120020.0,-48.0,-38.0,-44.18425460636516,-48.0,1194.0
1711120080.0,-48.0,-38.0,-44.18987341772152,-48.0,1185.0
1711120140.0,-49.0,-38.0,-44.151718357082984,-48.0,1193.0
1711120200.0,-51.0,-37.0,-44.145270270270274,-48.0,1184.0
1711120260.0,-50.0,-39.0,-44.20910623946037,-48.0,1186.0
1711120320.0,-52.0,-39.0,-44.24050632911393,-48.0,1185.0
1711120380.0,-49.0,-37.0,-44.24349286314022,-48.0,1191.0
1711120440.0,-48.0,-38.0,-44.22941176470588,-48.0,1190.0
1711120500.0,-51.0,-38.0,-44.22804054054054,-48.0,1184.0
1711120560.0,-48.0,-38.0,-44.19744680851064,-48.0,1175.0
1711120620.0,-52.0,-38.0,-44.11700336700337,-48.0,1188.0
1711120680.0,-48.0,-38.0,-44.23148148148148,-48.0,1188.0
1711120740.0,-50.0,-38.0,-44.13497453310696,-48.0,1178.0
1711120800.0,-49.0,-38.0,-44.132601351351354,-48.0,1184.0
1711120860.0,-59.0,-38.0,-45.52038626609442,-47.0,932.0
1711120920.0,-53.0,-45.0,-47.918088737201366,-48.0,586.0
1711120980.0,-50.0,-46.0,-47.889267461669505,-48.0,587.0
1711121040.0,-51.0,-45.0,-47.89590443686007,-48.0,586.0
1711121100.0,-53.0,-45.0,-47.924914675767916,-48.0,586.0
1711121160.0,-66.0,-45.0,-50.50292397660819,-48.0,855.0
1711121220.0,-55.0,-45.0,-49.750421585160204,-47.0,1186.0
1711121280.0,-54.0,-45.0,-49.791912384161755,-47.0,1187.0
1711121340.0,-56.0,-45.0,-49.78228476821192,-47.0,1208.0
1711121400.0,-55.0,-45.0,-49.83699324324324,-47.0,1184.0
1711121460.0,-55.0,-45.0,-49.761622992392226,-47.0,1183.0
1711121520.0,-55.0,-45.0,-49.75821398483572,-47.0,1187.0
1711121580.0,-56.0,-46.0,-49.743892165122155,-47.0,1187.0
1711121640.0,-54.0,-46.0,-49.736363636363635,-47.0,1210.0
1711121700.0,-75.0,-47.0,-54.40304826418289,-48.0,1181.0
1711121760.0,-71.0,-46.0,-57.57734573119188,-48.0,1183.0
1711121820.0,-69.0,-47.0,-57.15860899067006,-48.0,1179.0
1711121880.0,-69.0,-47.0,-57.94053601340033,-48.0,1194.0
1711121940.0,-74.0,-46.0,-56.82883642495784,-48.0,1186.0
1711122000.0,-67.0,-45.0,-56.633981403212175,-48.0,1183.0
1711122060.0,-68.0,-45.0,-56.86908783783784,-48.0,1184.0
