timestamp,min,max,avg,mode,number_of_packets
1709914860.0,-49.0,-46.0,-47.6312292358804,-48.0,602.0
1709914920.0,-49.0,-46.0,-47.652542372881356,-48.0,590.0
1709914980.0,-53.0,-46.0,-47.69047619047619,-48.0,588.0
1709915040.0,-53.0,-46.0,-47.64395229982964,-48.0,587.0
1709915100.0,-51.0,-45.0,-47.59625212947189,-48.0,587.0
1709915160.0,-53.0,-45.0,-47.53321976149915,-48.0,587.0
1709915220.0,-53.0,-46.0,-47.664395229982965,-48.0,587.0
1709915280.0,-53.0,-45.0,-47.59114139693356,-48.0,587.0
1709915340.0,-51.0,-45.0,-47.5366269165247,-48.0,587.0
1709915400.0,-52.0,-45.0,-47.56388415672913,-48.0,587.0
1709915460.0,-53.0,-45.0,-47.5809199318569,-48.0,587.0
1709915520.0,-51.0,-46.0,-47.64915254237288,-48.0,590.0
1709915580.0,-53.0,-45.0,-47.6098807495741,-48.0,587.0
1709915640.0,-51.0,-46.0,-47.592844974446336,-48.0,587.0
1709915700.0,-53.0,-46.0,-47.60333333333333,-48.0,600.0
1709915760.0,-50.0,-45.0,-47.6473594548552,-48.0,587.0
1709915820.0,-53.0,-46.0,-47.630323679727425,-48.0,587.0
1709915880.0,-48.0,-47.0,-47.59114139693356,-48.0,587.0
1709915940.0,-48.0,-45.0,-47.47018739352641,-48.0,587.0
1709916000.0,-50.0,-45.0,-47.62033898305085,-48.0,590.0
1709916060.0,-53.0,-45.0,-47.60891089108911,-48.0,606.0
1709916120.0,-52.0,-46.0,-47.55536626916525,-48.0,587.0
1709916180.0,-52.0,-45.0,-47.52981260647359,-48.0,587.0
1709916240.0,-52.0,-45.0,-47.57921635434412,-48.0,587.0
1709916300.0,-50.0,-46.0,-47.63389830508475,-48.0,590.0
1709916360.0,-50.0,-45.0,-47.55536626916525,-48.0,587.0
1709916420.0,-52.0,-45.0,-47.61290322580645,-48.0,589.0
1709916480.0,-49.0,-46.0,-47.57921635434412,-48.0,587.0
1709916540.0,-53.0,-45.0,-47.615640599001665,-48.0,601.0
1709916600.0,-48.0,-46.0,-47.54514480408859,-48.0,587.0
1709916660.0,-52.0,-46.0,-47.603066439523,-48.0,587.0
1709916720.0,-49.0,-45.0,-47.50337837837838,-48.0,592.0
1709916780.0,-53.0,-46.0,-47.67291311754685,-48.0,587.0
1709916840.0,-49.0,-45.0,-47.48122866894198,-48.0,586.0
1709916900.0,-51.0,-46.0,-47.5406779661017,-48.0,590.0
1709916960.0,-51.0,-46.0,-47.570698466780236,-48.0,587.0
1709917020.0,-49.0,-45.0,-47.51959114139694,-48.0,587.0
1709917080.0,-52.0,-46.0,-47.509369676320276,-48.0,587.0
1709917140.0,-50.0,-45.0,-47.46519524617997,-48.0,589.0
1709917200.0,-52.0,-46.0,-47.53741496598639,-48.0,588.0
1709917260.0,-50.0,-46.0,-47.57580919931857,-48.0,587.0
1709917320.0,-51.0,-45.0,-47.53220338983051,-48.0,590.0
1709917380.0,-48.0,-46.0,-47.5366269165247,-48.0,587.0
1709917440.0,-52.0,-46.0,-47.607142857142854,-48.0,588.0
1709917500.0,-53.0,-45.0,-47.48892674616695,-48.0,587.0
1709917560.0,-52.0,-46.0,-47.6497461928934,-48.0,591.0
1709917680.0,-49.0,-45.0,-47.538079470198674,-48.0,604.0
1709917740.0,-48.0,-45.0,-47.52542372881356,-48.0,590.0
1709917800.0,-48.0,-46.0,-47.49403747870528,-48.0,587.0
1709917860.0,-53.0,-45.0,-47.58833333333333,-48.0,600.0
1709917920.0,-52.0,-45.0,-47.51706484641638,-48.0,586.0
1709917980.0,-52.0,-45.0,-47.487223168654175,-48.0,587.0
1709918040.0,-53.0,-46.0,-47.5716723549488,-48.0,586.0
1709918100.0,-53.0,-46.0,-47.65017064846416,-48.0,586.0
1709918160.0,-52.0,-46.0,-47.52173913043478,-48.0,598.0
1709918220.0,-53.0,-46.0,-47.59114139693356,-48.0,587.0
1709918280.0,-48.0,-45.0,-47.5366269165247,-48.0,587.0
1709918340.0,-53.0,-45.0,-47.556666666666665,-48.0,600.0
1709918400.0,-51.0,-45.0,-47.557069846678026,-48.0,587.0
1709918460.0,-52.0,-45.0,-47.52981260647359,-48.0,587.0
1709918520.0,-48.0,-46.0,-47.53781512605042,-48.0,595.0
1709918580.0,-53.0,-46.0,-47.55536626916525,-48.0,587.0
1709918640.0,-52.0,-45.0,-47.54931972789116,-48.0,588.0
1709918700.0,-50.0,-46.0,-47.55166666666667,-48.0,600.0
1709918760.0,-53.0,-45.0,-47.47306397306397,-47.0,594.0
1709918820.0,-53.0,-45.0,-47.524701873935264,-48.0,587.0
1709918880.0,-48.0,-46.0,-47.56440677966102,-48.0,590.0
1709918940.0,-48.0,-45.0,-47.48040885860306,-48.0,587.0
1709919000.0,-53.0,-46.0,-47.568333333333335,-48.0,600.0
1709919060.0,-53.0,-45.0,-47.45666666666666,-47.0,600.0
1709919120.0,-53.0,-46.0,-47.558773424190804,-48.0,587.0
1709919180.0,-53.0,-46.0,-47.57666666666667,-48.0,600.0
1709919240.0,-53.0,-45.0,-47.4864406779661,-48.0,590.0
1709919300.0,-48.0,-46.0,-47.524701873935264,-48.0,587.0
1709919360.0,-50.0,-45.0,-47.57627118644068,-48.0,590.0
1709919420.0,-52.0,-45.0,-47.52810902896082,-48.0,587.0
1709919480.0,-53.0,-46.0,-47.56388415672913,-48.0,587.0
1709919540.0,-53.0,-45.0,-47.52129471890971,-48.0,587.0
1709919600.0,-51.0,-45.0,-47.47826086956522,-48.0,598.0
1709919660.0,-48.0,-46.0,-47.55612244897959,-48.0,588.0
1709919720.0,-48.0,-45.0,-47.49256198347108,-48.0,605.0
1709919780.0,-48.0,-46.0,-47.515306122448976,-48.0,588.0
1709919840.0,-53.0,-45.0,-47.50418760469012,-48.0,597.0
1709919900.0,-52.0,-46.0,-47.568994889267465,-48.0,587.0
1709919960.0,-52.0,-46.0,-47.54131534569983,-48.0,593.0
1709920020.0,-51.0,-46.0,-47.49829931972789,-48.0,588.0
1709920080.0,-53.0,-45.0,-47.55195911413969,-47.0,587.0
1709920140.0,-51.0,-46.0,-47.50596252129472,-48.0,587.0
1709920200.0,-52.0,-46.0,-47.56905158069883,-48.0,601.0
1709920260.0,-52.0,-46.0,-47.52040816326531,-48.0,588.0
1709920320.0,-48.0,-45.0,-47.46678023850085,-48.0,587.0
1709920380.0,-48.0,-46.0,-47.4855195911414,-47.0,587.0
1709920440.0,-53.0,-45.0,-47.6297520661157,-48.0,605.0
1709920500.0,-48.0,-45.0,-47.44312393887946,-47.0,589.0
1709920560.0,-48.0,-46.0,-47.49575551782682,-48.0,589.0
1709920620.0,-50.0,-46.0,-47.45748299319728,-48.0,588.0
1709920680.0,-53.0,-45.0,-47.524701873935264,-48.0,587.0
1709920740.0,-52.0,-46.0,-47.55195911413969,-48.0,587.0
1709920800.0,-51.0,-45.0,-47.46848381601363,-48.0,587.0
1709920860.0,-51.0,-46.0,-47.5187074829932,-48.0,588.0
1709920920.0,-51.0,-45.0,-47.47952218430034,-48.0,586.0
1709920980.0,-51.0,-46.0,-47.57833333333333,-48.0,600.0
1709921040.0,-51.0,-45.0,-47.51650165016502,-48.0,606.0
1709921100.0,-53.0,-45.0,-47.45166666666667,-47.0,600.0
1709921160.0,-50.0,-46.0,-47.5144804088586,-48.0,587.0
1709921220.0,-48.0,-45.0,-47.572402044293014,-48.0,587.0
1709921280.0,-49.0,-46.0,-47.487223168654175,-48.0,587.0
1709921340.0,-48.0,-46.0,-47.491467576791806,-48.0,586.0
1709921400.0,-48.0,-46.0,-47.409461663947795,-47.0,613.0
1709921460.0,-50.0,-46.0,-47.57921635434412,-48.0,587.0
1709921520.0,-49.0,-46.0,-47.52040816326531,-48.0,588.0
1709921580.0,-48.0,-46.0,-47.47359454855196,-48.0,587.0
1709921640.0,-53.0,-46.0,-47.48671096345515,-47.0,602.0
1709921700.0,-49.0,-45.0,-47.490630323679724,-48.0,587.0
1709921760.0,-51.0,-45.0,-47.525,-48.0,600.0
1709921820.0,-53.0,-46.0,-47.54344122657581,-48.0,587.0
1709921880.0,-52.0,-45.0,-47.429301533219764,-47.0,587.0
1709921940.0,-53.0,-46.0,-47.51782682512734,-48.0,589.0
1709922000.0,-48.0,-45.0,-47.48833333333334,-48.0,600.0
1709922060.0,-53.0,-45.0,-47.59114139693356,-48.0,587.0
1709922120.0,-51.0,-45.0,-47.45826235093697,-47.0,587.0
1709922180.0,-49.0,-45.0,-47.405,-47.0,600.0
1709922240.0,-52.0,-46.0,-47.55536626916525,-48.0,587.0
1709922300.0,-48.0,-46.0,-47.45485519591141,-47.0,587.0
1709922360.0,-53.0,-45.0,-47.40374787052811,-47.0,587.0
1709922420.0,-53.0,-45.0,-47.47870528109029,-47.0,587.0
1709922480.0,-52.0,-46.0,-47.53833049403748,-48.0,587.0
1709922540.0,-53.0,-46.0,-47.49744463373084,-48.0,587.0
1709922600.0,-52.0,-46.0,-47.4855195911414,-47.0,587.0
1709922660.0,-49.0,-46.0,-47.4190800681431,-47.0,587.0
1709922720.0,-48.0,-45.0,-47.46256239600665,-47.0,601.0
1709922780.0,-51.0,-45.0,-47.526666666666664,-48.0,600.0
1709922840.0,-51.0,-45.0,-47.47979797979798,-47.0,594.0
1709922900.0,-48.0,-45.0,-47.44633730834753,-47.0,587.0
1709922960.0,-50.0,-45.0,-47.45826235093697,-47.0,587.0
1709923020.0,-48.0,-46.0,-47.55536626916525,-48.0,587.0
1709923080.0,-53.0,-45.0,-47.43803056027165,-47.0,589.0
1709923140.0,-53.0,-46.0,-47.45811965811966,-47.0,585.0
1709923200.0,-48.0,-45.0,-47.39622641509434,-47.0,583.0
1709923260.0,-52.0,-45.0,-47.5191637630662,-48.0,574.0
1709923320.0,-51.0,-47.0,-47.45485519591141,-47.0,587.0
1709923380.0,-48.0,-46.0,-47.43611584327087,-47.0,587.0
1709923440.0,-50.0,-45.0,-47.444821731748725,-47.0,589.0
1709923500.0,-53.0,-45.0,-47.474916387959865,-47.0,598.0
1709923560.0,-48.0,-45.0,-47.406462585034014,-47.0,588.0
1709923620.0,-48.0,-46.0,-47.453151618398635,-47.0,587.0
1709923680.0,-52.0,-45.0,-47.44368600682594,-47.0,586.0
1709923740.0,-53.0,-45.0,-47.48739495798319,-47.0,595.0
1709923800.0,-53.0,-46.0,-47.49829931972789,-48.0,588.0
1709923860.0,-51.0,-46.0,-47.46848381601363,-47.0,587.0
1709923920.0,-50.0,-45.0,-47.42857142857143,-47.0,581.0
1709923980.0,-53.0,-46.0,-47.42465753424658,-47.0,584.0
1709924040.0,-50.0,-46.0,-47.50584307178631,-48.0,599.0
1709924100.0,-48.0,-46.0,-47.434856175972925,-47.0,591.0
1709924160.0,-53.0,-46.0,-47.45485519591141,-47.0,587.0
1709924220.0,-48.0,-45.0,-47.379897785349236,-47.0,587.0
1709924280.0,-50.0,-46.0,-47.44387755102041,-47.0,588.0
1709924340.0,-48.0,-45.0,-47.386054421768705,-47.0,588.0
1709924400.0,-48.0,-45.0,-47.476190476190474,-47.0,588.0
